"message_id","F09F918D","F09F9881","E29DA4","F09F918F","F09F918E","F09FA4A3","F09FA4A1","F09F94A5","F09F928A","F09FA494","F09F92AF","F09F98B1","F09F998F","F09F918C","F09F958A","F09F8DBE","F09FA4B7","other"
127919,239,0,18,36,0,0,0,0,0,4,4,5,0,0,0,0,0,0
133335,239,0,15,25,0,0,0,0,0,2,12,0,0,0,0,0,0,0
133884,239,0,0,6,0,0,0,0,0,0,42,0,0,0,0,0,0,0
134679,239,0,39,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0
131729,238,0,21,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0
126485,237,0,51,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0
131246,237,3,40,15,0,0,0,0,0,0,19,0,0,0,0,0,0,0
127590,236,0,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127902,236,41,3,13,1,0,5,0,0,1,0,0,0,0,0,0,0,0
133807,236,0,6,0,0,0,0,0,0,0,61,0,0,7,0,0,0,0
134066,236,0,4,18,0,0,1,0,0,0,21,0,0,1,0,0,0,0
134804,236,2,2,40,0,0,0,0,0,0,7,0,0,0,0,0,1,6
130835,235,0,15,6,0,0,0,0,0,0,49,0,0,0,0,0,0,0
132092,235,0,13,31,0,0,0,0,0,0,15,0,0,0,0,0,0,0
133143,235,0,41,0,0,0,3,0,0,0,14,0,0,0,0,0,2,0
125954,234,0,23,0,0,9,0,0,0,11,0,0,0,0,0,0,0,0
132035,234,0,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132511,234,0,32,3,0,0,3,0,0,0,0,0,0,0,0,0,0,6
126899,233,0,9,20,0,0,0,0,0,0,30,2,0,0,0,0,0,3
131412,233,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
131846,233,8,0,34,0,0,0,0,1,0,22,2,0,0,0,0,0,0
132489,233,5,26,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0
133439,233,2,45,0,0,0,0,0,0,0,31,0,0,3,0,0,0,0
134234,233,0,3,12,0,0,0,0,0,1,10,0,0,15,0,0,0,1
127010,232,0,28,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0
127317,231,0,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,9
135824,231,0,31,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125630,230,0,25,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0
126137,230,0,18,0,0,0,1,0,0,0,9,0,0,8,0,0,0,1
127611,230,0,19,34,0,0,0,0,0,0,6,0,0,0,0,0,0,0
131345,230,0,17,43,0,0,0,0,0,0,9,0,0,0,0,0,0,0
132079,230,0,31,11,0,0,0,0,0,0,7,0,0,0,0,0,0,0
132985,230,0,33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125547,229,0,14,22,0,4,0,0,0,1,60,0,0,0,0,0,0,0
128746,229,0,21,10,0,0,0,0,0,2,0,0,0,6,0,0,0,0
131927,229,0,45,16,0,0,1,0,0,0,8,0,1,0,0,0,0,0
133550,229,0,0,0,0,1,7,0,0,0,0,0,0,2,0,0,0,0
127640,228,0,15,2,0,0,0,3,0,1,8,0,0,0,0,0,0,1
128074,228,1,8,0,0,0,2,0,0,1,89,0,0,3,0,0,0,13
125471,227,0,14,44,0,0,0,0,0,0,0,0,5,0,0,0,1,0
125936,227,0,30,1,0,0,0,1,0,0,12,0,0,0,0,0,0,0
126118,227,42,1,0,0,0,3,0,0,7,0,0,0,0,0,0,0,3
132419,227,0,5,29,0,0,0,0,0,0,1,0,0,0,0,0,0,6
132635,227,0,16,26,0,0,0,0,0,0,0,0,2,0,0,5,0,0
133110,227,0,13,16,1,0,0,0,0,0,0,0,3,0,0,52,0,2
134857,227,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
129374,226,0,13,0,0,3,0,4,0,1,4,0,0,18,0,0,0,2
130183,226,0,35,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
133318,226,3,0,8,0,0,0,1,0,0,45,0,2,0,0,4,0,1
133886,226,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136442,226,1,0,0,0,0,0,0,0,0,14,0,20,0,0,3,0,0
126322,225,1,10,0,0,58,0,0,0,0,1,0,0,0,0,0,0,0
126658,225,0,12,7,0,1,3,1,0,0,0,0,13,0,0,0,0,1
131016,225,0,28,42,0,0,0,0,0,0,7,0,0,0,0,0,0,0
131243,225,0,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131936,225,3,34,1,0,2,1,0,0,0,27,0,0,0,0,0,0,0
126029,224,0,4,27,0,0,0,0,0,0,0,0,0,4,0,9,0,0
126937,224,0,6,16,0,0,0,0,0,7,1,0,13,1,0,0,0,0
130196,224,7,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,1
126108,223,16,22,13,0,2,0,0,0,0,0,0,0,0,0,4,0,1
127408,223,0,0,6,0,6,2,0,0,1,47,0,0,1,0,0,0,0
127928,223,0,27,0,0,0,0,0,0,8,0,0,0,0,0,12,0,1
128940,223,0,29,0,0,0,0,0,0,3,0,0,0,0,6,0,0,1
130907,223,0,29,0,0,0,0,0,0,0,12,0,0,6,0,0,0,1
136091,223,4,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125850,222,0,20,51,0,0,0,1,0,4,0,0,0,0,0,0,0,1
126884,222,0,57,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0
129162,222,0,48,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
129373,222,0,3,33,0,27,0,1,0,3,0,0,0,0,0,0,0,0
129611,222,0,0,0,0,0,0,0,0,0,88,0,4,0,0,0,0,0
132191,222,0,38,11,0,0,0,0,0,0,21,0,0,0,0,0,0,0
126125,221,0,4,7,0,0,0,0,0,0,81,0,0,0,0,0,0,0
127572,221,0,25,10,0,0,0,0,0,0,3,0,0,0,0,2,0,0
127669,221,0,23,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127994,221,8,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
131262,221,6,28,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0
126461,220,0,18,24,1,7,0,0,0,0,0,0,0,4,0,0,0,2
126504,220,0,10,26,0,1,0,0,0,0,0,0,0,0,0,2,0,0
127072,220,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127133,220,16,0,0,3,0,39,5,0,0,0,0,0,3,0,0,0,0
127935,220,0,10,0,0,7,0,0,0,2,5,0,3,18,0,0,0,0
133509,220,0,0,2,2,0,0,22,0,0,0,0,3,2,0,18,0,0
134486,220,2,20,4,0,4,0,0,0,0,0,0,0,0,0,3,2,0
126035,219,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134466,219,0,27,7,0,0,0,1,0,0,0,0,0,0,0,15,0,1
135782,219,0,6,0,0,0,0,3,0,0,18,0,1,14,0,0,0,1
127230,218,0,6,11,0,91,0,0,0,0,0,0,0,0,0,0,0,3
128665,218,0,20,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0
132245,218,0,15,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
125802,217,0,4,0,0,2,1,0,0,3,58,0,0,0,0,0,0,0
128663,217,0,16,5,0,0,1,0,0,0,0,0,0,11,0,0,0,0
132319,217,0,18,0,0,0,1,0,0,0,7,0,0,0,0,0,0,2
132381,217,0,6,0,0,0,0,0,0,1,50,0,0,0,0,0,0,2
134485,217,0,8,4,0,0,0,0,0,1,20,0,0,0,0,14,0,0
125477,216,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
126684,216,0,7,12,0,0,0,0,0,1,0,0,0,0,0,0,0,1
127117,216,0,22,8,0,5,0,0,0,0,0,0,6,1,0,0,0,2
131574,216,0,27,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0
133745,216,0,22,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2
133883,216,0,22,6,0,4,0,0,0,0,0,0,0,0,0,0,4,0
126337,215,0,19,13,0,0,1,0,0,0,6,0,0,0,0,0,0,1
127893,215,0,0,3,0,30,0,0,0,0,12,4,0,2,0,15,0,0
131385,215,0,13,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0
131928,215,0,4,9,2,0,0,0,0,0,66,0,0,1,0,0,0,0
132358,215,0,0,18,0,0,0,0,0,1,34,0,0,0,0,0,0,0
134195,215,1,13,2,0,0,0,0,0,0,42,0,0,0,0,0,0,0
125492,214,0,30,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
127944,214,14,17,0,1,0,0,0,0,11,0,0,5,1,0,0,0,3
131873,214,0,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132205,214,0,16,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
132750,214,0,25,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0
133314,214,0,23,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
134499,214,0,12,35,0,0,0,0,0,0,0,0,0,0,0,5,0,4
125805,213,0,33,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0
130906,213,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136655,213,0,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
125483,212,0,20,30,0,0,0,0,0,1,0,0,0,0,4,2,0,0
127301,212,0,17,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0
127607,212,0,25,2,0,0,0,0,0,0,29,0,0,0,0,0,0,2
131314,212,4,1,3,0,0,1,28,2,0,23,0,0,0,0,0,0,4
132123,212,0,7,0,0,0,0,0,0,0,13,0,0,0,0,0,0,9
132428,212,0,18,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0
