"","src_username","dst_username","log_forward_time","cat_forward_time"
"113","casusbellilive","investigativnyblogSK",4.16882146300982,4.5
"114","casusbellilive","mimisramova",4.16007818102087,4.5
"115","casusbellilive","ksbspravy",4.24027460747889,4.5
"116","casusbellilive","ksbspravy",4.24027460747889,4.5
"117","casusbellilive","ksbspravy",4.24027460747889,4.5
"118","casusbellilive","ksbspravy",4.24027460747889,4.5
"119","casusbellilive","ksbspravy",4.24027460747889,4.5
"120","casusbellilive","ksbspravy",4.2402496315188,4.5
"121","casusbellilive","ksbspravy",4.2402496315188,4.5
"122","casusbellilive","mimisramova",1.79239168949825,2
"123","casusbellilive","coNemateVedet",3.08707120590654,3.5
"124","casusbellilive","mimisramova",3.5854607295085,4
"125","casusbellilive","mimisramova",2.34635297445064,2.5
"126","casusbellilive","ksbspravy",1.44715803134222,1.5
"127","casusbellilive","ksbspravy",1.44715803134222,1.5
"128","casusbellilive","ksbspravy",1.44715803134222,1.5
"129","casusbellilive","ksbspravy",1.44715803134222,1.5
"130","casusbellilive","smebratia",3.15442397311465,3.5
"131","casusbellilive","mimisramova",2.81888541459401,3
"132","casusbellilive","smebratia",3.15472820744016,3.5
"133","casusbellilive","mimisramova",2.81954393554187,3
"134","casusbellilive","smebratia",3.15472820744016,3.5
"135","casusbellilive","mimisramova",2.81954393554187,3
"136","casusbellilive","smebratia",3.15472820744016,3.5
"137","casusbellilive","mimisramova",2.81954393554187,3
"138","casusbellilive","smebratia",3.15472820744016,3.5
"139","casusbellilive","mimisramova",2.81954393554187,3
"140","casusbellilive","mimisramova",3.5497387312649,4
"141","casusbellilive","investigativnyblogSK",0.954242509439325,1
"142","casusbellilive","investigativnyblogSK",0.954242509439325,1
"143","casusbellilive","mimisramova",1.97772360528885,2
"144","casusbellilive","mimisramova",1.77815125038364,2
"145","casusbellilive","LussiList",4.95252607155614,5
"146","casusbellilive","MGzpravy",4.95252607155614,5
"147","casusbellilive","investigativnyblogSK",2.42975228000241,2.5
"148","casusbellilive","investigativnyblogSK",0.903089986991944,1
"149","casusbellilive","investigativnyblogSK",1.11394335230684,1.5
"150","casusbellilive","investigativnyblogSK",1.04139268515822,1.5
"151","casusbellilive","mimisramova",4.51984111425674,5
"152","casusbellilive","investigativnyblogSK",3.10856502373283,3.5
"153","casusbellilive","investigativnyblogSK",0.954242509439325,1
"154","casusbellilive","investigativnyblogSK",0.778151250383644,1
"155","casusbellilive","investigativnyblogSK",0.845098040014257,1
"156","casusbellilive","investigativnyblogSK",1.34242268082221,1.5
"157","casusbellilive","smebratia",2.88479536394898,3
"158","casusbellilive","mimisramova",2.87390159786446,3
"159","casusbellilive","smebratia",2.83569057149243,3
"160","casusbellilive","mimisramova",2.80685802951882,3
"161","casusbellilive","mimisramova",2.30749603791321,2.5
"162","casusbellilive","investigativnyblogSK",1.34242268082221,1.5
"163","casusbellilive","investigativnyblogSK",0.778151250383644,1
"164","casusbellilive","investigativnyblogSK",1.14612803567824,1.5
"165","casusbellilive","investigativnyblogSK",0.903089986991944,1
"166","casusbellilive","mimisramova",3.90336133625532,4
"167","casusbellilive","investigativnyblogSK",1.30102999566398,1.5
"168","casusbellilive","mimisramova",3.74911766235632,4
"169","casusbellilive","investigativnyblogSK",3.46478751964594,3.5
"170","casusbellilive","mimisramova",3.45040308615537,3.5
"171","casusbellilive","investigativnyblogSK",1.53147891704226,2
"172","casusbellilive","investigativnyblogSK",0.903089986991944,1
"173","casusbellilive","mimisramova",3.65820225338701,4
"174","casusbellilive","ksbspravy",3.58591171031943,4
"175","casusbellilive","investigativnyblogSK",1.56820172406699,2
"176","casusbellilive","smebratia",3.52413637659257,4
"177","casusbellilive","mimisramova",3.34596154181314,3.5
"178","casusbellilive","investigativnyblogSK",1.14612803567824,1.5
"179","casusbellilive","investigativnyblogSK",1.04139268515822,1.5
"180","casusbellilive","mimisramova",3.15956719323362,3.5
"181","casusbellilive","mimisramova",2.12710479836481,2.5
"182","casusbellilive","mimisramova",2.24303804868629,2.5
"183","casusbellilive","investigativnyblogSK",1,1
"184","casusbellilive","investigativnyblogSK",0.903089986991944,1
"185","casusbellilive","investigativnyblogSK",0.903089986991944,1
"186","casusbellilive","mimisramova",3.42732378635725,3.5
"187","casusbellilive","investigativnyblogSK",1,1
"188","casusbellilive","investigativnyblogSK",0.903089986991944,1
"189","casusbellilive","ksbspravy",2.10720996964787,2.5
"190","casusbellilive","investigativnyblogSK",2.72591163229505,3
"191","casusbellilive","mimisramova",2.51188336097887,3
"192","casusbellilive","mimisramova",2.79239168949825,3
"193","casusbellilive","mimisramova",2.26481782300954,2.5
"194","casusbellilive","mimisramova",3.23375736296551,3.5
"195","casusbellilive","investigativnyblogSK",0.903089986991944,1
"196","casusbellilive","smebratia",3.98811284026835,4
"197","casusbellilive","mimisramova",2.08278537031645,2.5
"198","casusbellilive","smebratia",4.05088221066403,4.5
"199","casusbellilive","mimisramova",2.92220627743902,3
"200","casusbellilive","investigativnyblogSK",0.845098040014257,1
"201","casusbellilive","mimisramova",1.20411998265592,1.5
"202","casusbellilive","mimisramova",2.11727129565576,2.5
"203","casusbellilive","mimisramova",2.11727129565576,2.5
"204","casusbellilive","mimisramova",2.11394335230684,2.5
"205","casusbellilive","investigativnyblogSK",3.09725730969342,3.5
"206","casusbellilive","smebratia",3.39707054995941,3.5
"207","casusbellilive","mimisramova",2.01703333929878,2.5
"208","casusbellilive","smebratia",3.39707054995941,3.5
"209","casusbellilive","mimisramova",2.02118929906994,2.5
"210","casusbellilive","investigativnyblogSK",1,1
"211","casusbellilive","mimisramova",3.5066403055665,4
