"message_id","F09F918D","F09F9881","F09FA4AE","E29DA4","F09FA4AC","F09F918F","F09F918E","F09FA4A3","F09F92A9","F09FA4A1","F09F94A5","F09F928A","F09FA494","F09F92AF","F09F98A2","F09F98B1","F09F998F","F09F918C","F09F9695","F09F958A","F09F9988","F09FA4AF","F09F98A1","F09F8DBE","F09FA4B7","other"
21733,976,94,0,10,0,0,0,152,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
29138,976,0,21,12,0,0,0,69,98,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23387,974,0,0,159,0,0,0,0,0,0,4,0,0,46,0,4,0,16,0,0,10,0,0,0,0,1
27633,974,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,8
22980,971,0,7,33,0,28,3,0,0,3,0,0,0,112,0,0,0,5,2,0,0,0,0,0,0,4
21431,970,53,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,18
33769,970,0,0,99,0,50,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,2
31449,967,0,0,69,0,83,0,0,0,2,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0
36315,964,0,0,128,0,92,6,0,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,3,3
29476,960,0,4,195,0,55,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
29132,959,0,0,2,0,109,0,0,19,0,2,0,7,0,0,0,0,15,0,0,5,0,0,0,0,3
22775,955,149,0,72,0,23,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23980,953,0,0,11,97,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1
21221,951,0,0,54,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
32385,950,24,2,11,0,40,1,0,0,0,0,0,0,186,0,0,0,2,1,0,0,0,0,0,1,0
23270,949,0,0,24,0,99,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0
27251,949,0,0,284,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
30633,948,0,6,73,0,0,1,0,1,0,0,0,0,59,9,0,0,0,0,0,0,0,0,0,0,0
26755,947,0,0,19,0,83,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22924,945,0,1,15,0,83,0,0,0,0,0,0,0,48,0,0,0,5,0,0,0,0,0,0,0,0
22772,942,0,0,34,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,3,6
26321,938,0,0,107,0,73,0,0,0,0,0,0,3,31,0,0,0,0,0,12,0,10,0,0,0,0
34902,938,1,0,42,0,0,0,0,0,4,0,0,13,0,0,0,107,0,0,0,0,0,1,11,0,7
