"","src_username","dst_username","mean_forward_time","mode_forward_time","sd_forward_time","n_records","ratio_below_t","left_ratio","bar_color"
"48","casusbellilive","vsetkyspravy",2.72023725277079,1.5,1.1026713916071,16,0.4375,1.03957358871314,"grey"
"49","ceskytesin_chranme_nase_deti","MGzpravy",3.89775517633241,3.5,0.47632631867159,14,0,0,"grey"
"50","ceskytesin_chranme_nase_deti","coNemateVedet",1.20423059171416,1.5,0.282412637275791,1222,0.997545008183306,0.99754723797976,"black"
"51","coNemateVedet","LussiList",3.73090128350046,3.5,0.706102841885891,15,0.0666666666666667,1.64015671253042,"grey"
"52","coNemateVedet","MGzpravy",4.44414615629708,5,0.563443373286216,88,0,0,"darkgreen"
"53","coNemateVedet","SvetKolemNas",3.92244525944418,3,0.917058952562723,9,0,0,"grey"
"54","coNemateVedet","jarek53",4.53167017745802,5,0.275551405719245,8,0,0,"grey"
"55","coNemateVedet","smebratia",4.52682748679766,4.5,0.358060082398195,6,0,0,"grey"
"56","cz24news","MGzpravy",4.32010889418145,5,0.674051094474254,23,0,0,"darkgreen"
"57","cz24news","aliancenarodnichsil",3.9599266018093,4,0.875383444298474,65,0.0769230769230769,1.61325130035185,"darkgreen"
"58","cz24news","kanalklubunekonvencnemysliacich",2.88793912787471,3,0.845765880753285,50,0.26,0.804379248171092,"darkgreen"
"59","cz24news","ksbspravy",2.99677252128636,4.5,0.997802165543248,5,0.4,1.29328887550696,"grey"
"60","cz24news","vsetkyspravy",2.85548381281662,3,1.06401253855642,17,0.411764705882353,1.11543091188843,"grey"
"61","cz24news","zbylin",5.04424513452492,6.5,1.08676834556268,5,0,0,"grey"
"62","hlavnespravy1","kanalklubunekonvencnemysliacich",3.11083446315531,3.5,0.778697812420949,31,0.193548387096774,0.894427015093114,"darkgreen"
"63","hlavnespravy1","vsetkyspravy",3.72782790530056,4.5,0.886372111657203,163,0.110429447852761,1.33061466480761,"darkgreen"
"64","investigativnyblogSK","casusbellilive",3.18570952342343,3.5,0.595252492283997,145,0.131034482758621,1.05106829509396,"darkgreen"
"65","investigativnyblogSK","investigativnyblogSK",6.56614240228751,7,0.551985550158366,37,0,0,"darkgreen"
"66","investigativnyblogSK","kanalklubunekonvencnemysliacich",4.125824286871,4.5,1.01864246401033,55,0.0727272727272727,1.31664944862774,"darkgreen"
"67","investigativnyblogSK","ksbspravy",3.39715530386553,4,0.747861258024605,113,0.15929203539823,1.38344080054516,"darkgreen"
"68","investigativnyblogSK","mimisramova",2.96029910916154,3.5,0.858688533334228,768,0.31640625,1.06907601161314,"darkgreen"
"69","investigativnyblogSK","pravdavzdyvitazi",4.09553369772697,4.5,0.0938170596379529,12,0,0,"grey"
"70","investigativnyblogSK","slovanskenoviny",3.31019943812561,4,0.921761180456578,53,0.207547169811321,1.09402876382005,"darkgreen"
"71","investigativnyblogSK","smebratia",3.71610210245991,3.5,0.721275792526583,128,0.0078125,0.170230169032143,"darkgreen"
"72","investigativnyblogSK","vsetkyspravy",4.01118955651817,5,0.998375120123392,25,0.04,0.614841320179159,"darkgreen"
"73","jarek53","MGzpravy",4.40031812723133,5,0.530433147862279,134,0,0,"darkgreen"
"74","jarek53","aliancenarodnichsil",4.61386417772772,5,1.16119162906556,16,0.0625,1.81966247255735,"grey"
"75","jarek53","jarek53",5.48385360087648,5,1.11287535523495,16,0,0,"grey"
"76","jarek53","zbylin",5.56624538948375,5,0.942159893016129,7,0,0,"grey"
"77","jiznimorava","LussiList",3.35144421613063,3,1.40173697083621,10,0.3,1.10381027103898,"grey"
"78","jiznimorava","MGzpravy",4.57594931141128,5,0.433196265214771,125,0,0,"darkgreen"
"79","jiznimorava","SvetKolemNas",3.48477265189709,3,0.99439031292772,53,0.150943396226415,0.937496488792512,"darkgreen"
