"message_id","F09F918D","F09F9881","E29DA4","F09F918F","F09F918E","F09FA4A3","F09FA494","F09FA4B7","other"
115756,112,0,10,2,0,0,0,0,0
116124,112,1,27,3,0,0,2,0,0
117699,112,0,0,0,1,10,5,0,0
117738,112,0,17,0,0,0,0,0,0
118095,112,1,17,0,2,0,7,0,0
120484,112,1,15,0,0,0,0,0,0
120579,112,0,18,0,0,0,0,0,2
122177,112,0,0,21,0,5,0,0,0
122216,112,0,29,25,0,0,0,0,0
125520,112,0,30,23,0,0,0,0,0
126474,112,0,3,0,0,0,0,0,0
127913,112,0,13,3,0,0,0,0,0
132896,112,0,0,0,0,0,0,0,0
132989,112,27,0,9,0,1,0,0,0
132994,112,49,3,8,0,10,0,0,1
135033,112,0,7,0,0,0,0,0,0
135925,112,0,17,13,0,2,0,0,0
137055,112,0,2,14,0,1,0,0,0
139415,112,0,8,28,0,0,2,0,0
141927,112,0,6,0,0,1,0,0,0
142412,112,0,11,22,0,1,0,0,16
116495,111,2,21,13,0,0,6,3,0
118194,111,0,12,0,1,0,1,0,0
124874,111,0,14,11,0,0,0,0,0
125292,111,0,25,0,0,0,0,0,2
125850,111,0,0,0,0,31,0,0,0
127908,111,0,0,19,0,0,0,0,0
129120,111,0,0,0,0,2,4,0,0
131868,111,5,0,13,0,0,0,0,0
132578,111,0,15,0,0,0,0,0,0
132823,111,2,13,16,0,0,0,0,0
136090,111,0,19,10,0,0,0,0,0
136827,111,0,0,2,0,1,4,0,0
142532,111,0,1,0,0,0,3,0,0
112163,110,0,3,14,0,0,0,0,0
112914,110,0,1,0,0,0,0,0,0
117697,110,2,0,0,0,8,0,0,0
120474,110,0,4,8,0,0,0,0,0
122017,110,0,16,0,0,0,0,0,0
124842,110,0,5,0,0,0,0,0,0
125141,110,0,30,0,0,0,0,0,0
125447,110,0,10,0,0,0,0,0,0
125761,110,0,7,14,0,1,7,0,0
126799,110,0,44,3,0,1,8,0,0
127335,110,0,0,0,0,0,0,0,0
134638,110,0,26,9,0,0,0,0,0
136751,110,0,8,0,0,2,0,0,3
139544,110,0,50,5,0,0,0,0,0
140444,110,8,0,0,3,0,2,0,0
143664,110,0,15,10,0,0,1,0,0
146365,110,0,11,1,0,0,3,0,0
148926,110,0,37,0,0,0,0,1,0
113266,109,0,56,0,0,0,0,0,4
113481,109,0,5,0,0,0,0,0,0
114409,109,0,20,0,0,8,1,3,1
