"message_id","F09F918D","F09F9881","F09FA4AE","E29DA4","F09FA4AC","F09F918F","F09F918E","F09F94A5","F09F928A","F09FA494","F09F92AF","F09F98A2","F09F998F","F09F918C","F09F958A","F09F9988","F09FA4AF","F09F98A1","F09FA4B7","other"
53631,493,0,0,43,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57853,493,0,0,46,0,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64335,493,0,0,19,0,5,0,0,0,0,63,0,0,4,1,0,0,0,0,2
64438,493,0,0,35,0,0,0,0,0,0,92,0,0,12,0,0,0,0,0,1
72232,493,0,0,34,0,0,0,0,0,0,31,0,0,5,0,0,0,0,0,0
58697,492,0,0,28,0,10,0,0,0,0,0,0,0,0,67,0,0,0,0,0
61221,492,0,0,34,0,30,0,0,0,9,0,0,0,0,0,0,0,0,0,0
68637,492,0,0,0,0,0,0,0,0,2,69,0,0,0,0,0,0,17,0,0
53903,491,0,0,94,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54349,491,0,0,73,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
55910,491,0,0,24,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61926,491,0,0,77,0,41,0,0,0,0,18,0,0,0,0,0,0,0,0,0
62361,491,0,3,0,0,60,1,0,0,2,0,0,0,0,0,0,0,0,0,1
52815,490,5,0,23,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0
53242,490,0,0,1,0,40,0,3,0,0,0,0,0,0,0,0,0,0,0,0
58677,490,0,0,160,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59107,490,2,0,39,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61986,490,4,0,20,0,6,0,0,0,9,76,0,0,0,16,0,0,0,0,1
63894,490,0,0,13,0,18,0,0,1,12,46,0,0,0,0,0,0,0,0,1
68618,490,4,0,19,0,45,0,2,0,48,0,0,0,3,0,0,0,0,0,0
68866,490,1,10,3,0,0,2,27,0,0,7,0,0,0,0,0,19,0,0,0
