"","message_id","hex_u_emo","count","Emoji","Unicode.codepoint","Occurrences","Position","Negative","Neutral","Positive","Substituted","negative_norm","neutral_norm","positive_norm","neutral","positive","negative"
"3712",90830,"F09F918D",6,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1.48867313915858,3.82200647249191,0.689320388349514
"3713",90830,"F09F9881",24,"😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,7.10461397898584,13.8474189127455,3.04796710826862
"3714",90830,"F09F98B1",1,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,0.282300884955752,0.453982300884956,0.263716814159292
"3715",90831,"F09F918D",19,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,4.71413160733549,12.1030204962244,2.18284789644013
"3716",90832,"E29DA4",17,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,2.81714285714286,13.4331677018634,0.749689440993789
"3717",90832,"F09F918D",8,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1.9848975188781,5.09600862998921,0.919093851132686
"3718",90833,"F09F918D",18,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,4.46601941747573,11.4660194174757,2.06796116504854
"3719",90834,"E29DA4",29,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,4.80571428571429,22.9154037267081,1.27888198757764
"3720",90834,"F09F918D",7,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1.73678532901834,4.45900755124056,0.8042071197411
"3721",90835,"E29DA4",31,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,5.13714285714286,24.4957763975155,1.36708074534161
"3722",90835,"F09F918D",5,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1.24056094929881,3.18500539374326,0.574433656957929
